"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2000-03-07 12:50:01,749301","202.77.162.213","172.16.115.20","TCP","74","47496  >  23 [SYN] Seq=0 Win=32768 Len=0 MSS=1460 WS=1 TSval=186587 TSecr=0"
"2","2000-03-07 12:50:01,749686","172.16.115.20","202.77.162.213","TCP","74","23  >  47496 [SYN, ACK] Seq=0 Ack=1 Win=10136 Len=0 TSval=9212571 TSecr=186587 WS=1 MSS=1460"
"3","2000-03-07 12:50:01,749838","202.77.162.213","172.16.115.20","TCP","66","47496  >  23 [ACK] Seq=1 Ack=1 Win=33580 Len=0 TSval=186587 TSecr=9212571"
"4","2000-03-07 12:50:01,819752","172.16.115.20","202.77.162.213","TELNET","81","Telnet Data ..."
"5","2000-03-07 12:50:01,822889","202.77.162.213","172.16.115.20","TELNET","81","Telnet Data ..."
"6","2000-03-07 12:50:01,823093","172.16.115.20","202.77.162.213","TCP","66","23  >  47496 [ACK] Seq=16 Ack=16 Win=10136 Len=0 TSval=9212578 TSecr=186588"
"7","2000-03-07 12:50:01,825979","172.16.115.20","202.77.162.213","TELNET","102","Telnet Data ..."
"8","2000-03-07 12:50:01,841817","202.77.162.213","172.16.115.20","TCP","66","47496  >  23 [ACK] Seq=16 Ack=52 Win=33580 Len=0 TSval=186588 TSecr=9212579"
"9","2000-03-07 12:50:01,877902","172.16.115.20","202.77.162.213","TELNET","75","Telnet Data ..."
"10","2000-03-07 12:50:01,880480","202.77.162.213","172.16.115.20","TELNET","75","Telnet Data ..."
"11","2000-03-07 12:50:01,880731","172.16.115.20","202.77.162.213","TELNET","73","Telnet Data ..."
"12","2000-03-07 12:50:01,882841","202.77.162.213","172.16.115.20","TELNET","75","Telnet Data ..."
"13","2000-03-07 12:50:01,883039","172.16.115.20","202.77.162.213","TELNET","69","Telnet Data ..."
"14","2000-03-07 12:50:01,901807","202.77.162.213","172.16.115.20","TCP","66","47496  >  23 [ACK] Seq=34 Ack=71 Win=33580 Len=0 TSval=186588 TSecr=9212584"
"15","2000-03-07 12:50:01,902027","172.16.115.20","202.77.162.213","TELNET","85","Telnet Data ..."
"16","2000-03-07 12:50:01,904099","202.77.162.213","172.16.115.20","TELNET","75","Telnet Data ..."
"17","2000-03-07 12:50:01,904907","172.16.115.20","202.77.162.213","TELNET","68","Telnet Data ..."
"18","2000-03-07 12:50:01,921830","202.77.162.213","172.16.115.20","TCP","66","47496  >  23 [ACK] Seq=43 Ack=92 Win=33580 Len=0 TSval=186588 TSecr=9212587"
"19","2000-03-07 12:50:01,948795","172.16.115.20","202.77.162.213","TELNET","121","Telnet Data ..."
"20","2000-03-07 12:50:01,961831","202.77.162.213","172.16.115.20","TCP","66","47496  >  23 [ACK] Seq=43 Ack=147 Win=33580 Len=0 TSval=186588 TSecr=9212591"
"21","2000-03-07 12:50:02,007216","172.16.115.20","202.77.162.213","TELNET","128","Telnet Data ..."
"22","2000-03-07 12:50:02,021776","202.77.162.213","172.16.115.20","TCP","66","47496  >  23 [ACK] Seq=43 Ack=209 Win=33580 Len=0 TSval=186588 TSecr=9212597"
"23","2000-03-07 12:50:02,035614","172.16.115.20","202.77.162.213","TELNET","68","Telnet Data ..."
"24","2000-03-07 12:50:02,038709","202.77.162.213","172.16.115.20","TELNET","87","Telnet Data ..."
"25","2000-03-07 12:50:02,039123","172.16.115.20","202.77.162.213","TELNET","87","Telnet Data ..."
"26","2000-03-07 12:50:02,051859","202.77.162.213","172.16.115.20","TCP","66","47496  >  23 [ACK] Seq=64 Ack=232 Win=33580 Len=0 TSval=186588 TSecr=9212600"
"27","2000-03-07 12:50:02,054156","172.16.115.20","202.77.162.213","TELNET","68","Telnet Data ..."
"28","2000-03-07 12:50:02,058656","202.77.162.213","172.16.115.20","TELNET","84","Telnet Data ..."
"29","2000-03-07 12:50:02,059037","172.16.115.20","202.77.162.213","TELNET","84","Telnet Data ..."
"30","2000-03-07 12:50:02,071760","202.77.162.213","172.16.115.20","TCP","66","47496  >  23 [ACK] Seq=82 Ack=252 Win=33580 Len=0 TSval=186588 TSecr=9212602"
"31","2000-03-07 12:50:02,071946","172.16.115.20","202.77.162.213","TELNET","68","Telnet Data ..."
"32","2000-03-07 12:50:02,076105","202.77.162.213","172.16.115.20","TELNET","147","Telnet Data ..."
"33","2000-03-07 12:50:02,076695","172.16.115.20","202.77.162.213","TELNET","147","Telnet Data ..."
"34","2000-03-07 12:50:02,091814","202.77.162.213","172.16.115.20","TCP","66","47496  >  23 [ACK] Seq=163 Ack=335 Win=33580 Len=0 TSval=186588 TSecr=9212604"
"35","2000-03-07 12:50:02,101201","172.16.115.20","202.77.162.213","TCP","60","1023  >  514 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"36","2000-03-07 12:50:02,101355","202.77.162.213","172.16.115.20","TCP","60","514  >  1023 [SYN, ACK] Seq=0 Ack=1 Win=33580 Len=0 MSS=1460"
"37","2000-03-07 12:50:02,101561","172.16.115.20","202.77.162.213","TCP","60","1023  >  514 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"38","2000-03-07 12:50:02,101733","172.16.115.20","202.77.162.213","RSH","60","Session Establishment"
"39","2000-03-07 12:50:02,145960","202.77.162.213","172.16.115.20","TCP","60","514  >  1023 [ACK] Seq=1 Ack=2 Win=33580 Len=0"
"40","2000-03-07 12:50:02,146207","172.16.115.20","202.77.162.213","RSH","139","Session Establishment"
