"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2014-08-08 13:25:30,277317","50.19.128.88","10.5.1.107","TLSv1.2","167","Application Data"
"2","2014-08-08 13:25:30,277615","10.5.1.107","50.19.128.88","TCP","66","33110  >  443 [ACK] Seq=1 Ack=102 Win=331 Len=0 TSval=841951 TSecr=1889813894"
"3","2014-08-08 13:25:30,599090","10.5.1.103","50.19.128.88","TLSv1.2","167","Application Data"
"4","2014-08-08 13:25:30,629953","10.5.1.107","54.243.152.200","TCP","66","36905  >  443 [ACK] Seq=1 Ack=1 Win=296 Len=0 TSval=842040 TSecr=912704235"
"5","2014-08-08 13:25:30,689988","50.19.128.88","10.5.1.103","TLSv1.2","167","Application Data"
"6","2014-08-08 13:25:30,690553","10.5.1.103","50.19.128.88","TCP","66","55792  >  443 [ACK] Seq=102 Ack=102 Win=8185 Len=0 TSval=1004049163 TSecr=1889813997"
"7","2014-08-08 13:25:30,725530","54.243.152.200","10.5.1.107","TCP","66","[TCP ACKed unseen segment] 443  >  36905 [ACK] Seq=1 Ack=2 Win=70 Len=0 TSval=912706763 TSecr=829430"
"8","2014-08-08 13:25:31,013174","10.5.1.108","50.19.128.88","TLSv1.2","167","Application Data"
"9","2014-08-08 13:25:31,107626","50.19.128.88","10.5.1.108","TLSv1.2","167","Application Data"
"10","2014-08-08 13:25:31,108050","10.5.1.108","50.19.128.88","TCP","66","49312  >  443 [ACK] Seq=102 Ack=102 Win=8185 Len=0 TSval=471431668 TSecr=1889814102"
"11","2014-08-08 13:25:31,336105","108.160.167.157","10.5.1.108","HTTP","245","HTTP/1.1 200 OK  (text/plain)"
"12","2014-08-08 13:25:31,336580","10.5.1.108","108.160.167.157","TCP","66","49162  >  80 [ACK] Seq=1 Ack=180 Win=8180 Len=0 TSval=471431895 TSecr=2261034322"
"13","2014-08-08 13:25:31,339637","10.5.1.108","108.160.167.157","HTTP","618","GET /subscribe?host_int=478314626&ns_map=23728482_7619295711586%2C353900579_322476447779%2C89242026_326506756522%2C184844043_25954647819%2C183594511_20916674326031%2C187888985_8777823577%2C267867802_1104074462874%2C314512655_2641719399695%2C207177148_1198503052732%2C250091562_4260857649194%2C216883358_-1&user_id=15197322&nid=1381653161632283905&ts=1407518731 HTTP/1.1 "
"14","2014-08-08 13:25:31,360665","108.160.167.157","10.5.1.108","TCP","66","80  >  49162 [ACK] Seq=180 Ack=553 Win=83 Len=0 TSval=2261034329 TSecr=471431897"
"15","2014-08-08 13:25:31,446653","Cisco_45:7e:30","PVST+","STP","64","RST. Root = 32768/501/70:ca:9b:45:7e:00  Cost = 0  Port = 0x8030"
"16","2014-08-08 13:25:31,660641","10.5.7.2","10.5.1.2","TCP","66","49551  >  4444 [ACK] Seq=1 Ack=1 Win=296 Len=0 TSval=6577464 TSecr=1673610"
"17","2014-08-08 13:25:31,661092","10.5.1.2","10.5.7.2","TCP","66","[TCP ACKed unseen segment] 4444  >  49551 [ACK] Seq=1 Ack=2 Win=295 Len=0 TSval=1675614 TSecr=6572456"
"18","2014-08-08 13:25:31,836007","10.5.1.108","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"19","2014-08-08 13:25:31,836020","fe80::426c:8fff:fe37:7edb","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"20","2014-08-08 13:25:32,091193","10.5.1.110","50.19.128.88","TLSv1.2","167","Application Data"
"21","2014-08-08 13:25:32,184740","50.19.128.88","10.5.1.110","TLSv1.2","167","Application Data"
"22","2014-08-08 13:25:32,184940","10.5.1.110","50.19.128.88","TCP","66","42228  >  443 [ACK] Seq=102 Ack=102 Win=296 Len=0 TSval=1070041 TSecr=1889814371"
"23","2014-08-08 13:25:32,212745","10.5.1.2","50.19.128.88","TLSv1.2","199","Application Data"
"24","2014-08-08 13:25:32,304063","50.19.128.88","10.5.1.2","TLSv1.2","199","Application Data"
"25","2014-08-08 13:25:32,304496","10.5.1.2","50.19.128.88","TCP","66","59338  >  443 [ACK] Seq=134 Ack=134 Win=331 Len=0 TSval=1675742 TSecr=1889814401"
"26","2014-08-08 13:25:33,170495","10.5.1.107","50.19.128.88","TLSv1.2","167","Application Data"
"27","2014-08-08 13:25:33,263274","50.19.128.88","10.5.1.107","TLSv1.2","167","Application Data"
"28","2014-08-08 13:25:33,263474","10.5.1.107","50.19.128.88","TCP","66","33110  >  443 [ACK] Seq=102 Ack=203 Win=331 Len=0 TSval=842698 TSecr=1889814641"
"29","2014-08-08 13:25:33,457022","Cisco_45:7e:30","PVST+","STP","64","RST. Root = 32768/501/70:ca:9b:45:7e:00  Cost = 0  Port = 0x8030"
"30","2014-08-08 13:25:33,597850","10.5.1.103","50.19.128.88","TLSv1.2","167","Application Data"
"31","2014-08-08 13:25:33,689135","50.19.128.88","10.5.1.103","TLSv1.2","167","Application Data"
"32","2014-08-08 13:25:33,689782","10.5.1.103","50.19.128.88","TCP","66","55792  >  443 [ACK] Seq=203 Ack=203 Win=8185 Len=0 TSval=1004052155 TSecr=1889814747"
"33","2014-08-08 13:25:34,014414","10.5.1.108","50.19.128.88","TLSv1.2","167","Application Data"
"34","2014-08-08 13:25:34,109411","50.19.128.88","10.5.1.108","TLSv1.2","167","Application Data"
"35","2014-08-08 13:25:34,109762","10.5.1.108","50.19.128.88","TCP","66","49312  >  443 [ACK] Seq=203 Ack=203 Win=8185 Len=0 TSval=471434660 TSecr=1889814852"
"36","2014-08-08 13:25:35,091537","10.5.1.110","50.19.128.88","TLSv1.2","167","Application Data"
"37","2014-08-08 13:25:35,185418","50.19.128.88","10.5.1.110","TLSv1.2","167","Application Data"
"38","2014-08-08 13:25:35,185617","10.5.1.110","50.19.128.88","TCP","66","42228  >  443 [ACK] Seq=203 Ack=203 Win=296 Len=0 TSval=1070791 TSecr=1889815121"
"39","2014-08-08 13:25:35,213789","10.5.1.2","50.19.128.88","TLSv1.2","199","Application Data"
"40","2014-08-08 13:25:35,305124","50.19.128.88","10.5.1.2","TLSv1.2","199","Application Data"
"41","2014-08-08 13:25:35,305572","10.5.1.2","50.19.128.88","TCP","66","59338  >  443 [ACK] Seq=267 Ack=267 Win=331 Len=0 TSval=1676342 TSecr=1889815151"
"42","2014-08-08 13:25:35,404861","10.5.12.2","10.5.1.2","TCP","66","49550  >  4444 [ACK] Seq=1 Ack=1 Win=237 Len=0 TSval=6578400 TSecr=1674359"
"43","2014-08-08 13:25:35,405334","10.5.1.2","10.5.12.2","TCP","66","[TCP ACKed unseen segment] 4444  >  49550 [ACK] Seq=1 Ack=2 Win=136 Len=0 TSval=1676362 TSecr=6568380"
"44","2014-08-08 13:25:35,495331","Cisco_45:7e:30","PVST+","STP","64","RST. Root = 32768/501/70:ca:9b:45:7e:00  Cost = 0  Port = 0x8030"
"45","2014-08-08 13:25:35,545551","fe80::f2de:f1ff:fe6c:7c3e","ff02::2","ICMPv6","62","Router Solicitation"
"46","2014-08-08 13:25:36,170577","10.5.1.107","50.19.128.88","TLSv1.2","167","Application Data"
"47","2014-08-08 13:25:36,263828","50.19.128.88","10.5.1.107","TLSv1.2","167","Application Data"
"48","2014-08-08 13:25:36,264026","10.5.1.107","50.19.128.88","TCP","66","33110  >  443 [ACK] Seq=203 Ack=304 Win=331 Len=0 TSval=843448 TSecr=1889815391"
"49","2014-08-08 13:25:36,569979","10.5.1.107","74.125.129.84","TLSv1.2","107","Application Data"
"50","2014-08-08 13:25:36,569988","10.5.1.107","74.125.224.181","TLSv1.2","107","Application Data"
"51","2014-08-08 13:25:36,569992","10.5.1.107","74.125.224.181","TLSv1.2","107","Application Data"
"52","2014-08-08 13:25:36,570032","10.5.1.107","74.125.224.182","TLSv1.2","107","Application Data"
"53","2014-08-08 13:25:36,580412","74.125.224.181","10.5.1.107","TCP","66","443  >  52896 [ACK] Seq=1 Ack=42 Win=670 Len=0 TSval=1964607493 TSecr=843525"
"54","2014-08-08 13:25:36,580446","74.125.224.181","10.5.1.107","TLSv1.2","107","Application Data"
"55","2014-08-08 13:25:36,581462","74.125.224.182","10.5.1.107","TCP","66","443  >  40634 [ACK] Seq=1 Ack=42 Win=670 Len=0 TSval=1964603051 TSecr=843525"
"56","2014-08-08 13:25:36,581564","74.125.224.181","10.5.1.107","TCP","66","443  >  52895 [ACK] Seq=1 Ack=42 Win=670 Len=0 TSval=1964607079 TSecr=843525"
"57","2014-08-08 13:25:36,581662","74.125.224.182","10.5.1.107","TLSv1.2","107","Application Data"
"58","2014-08-08 13:25:36,583065","74.125.224.181","10.5.1.107","TLSv1.2","107","Application Data"
"59","2014-08-08 13:25:36,598501","10.5.1.103","50.19.128.88","TLSv1.2","167","Application Data"
"60","2014-08-08 13:25:36,611013","74.125.129.84","10.5.1.107","TCP","66","443  >  56256 [ACK] Seq=1 Ack=42 Win=670 Len=0 TSval=1118719731 TSecr=843525"
